Código región;Región;Código provincia;Provincia;Código comuna;COMUNA;Población censada;Hombres;Mujeres;Razón hombre-mujer;% personas de 65 años o más
0;País;0;País;0;País;18.480.432;8.967.033;9.513.399;94,3;14,0%
1;Tarapacá;11;Iquique;1101;Iquique;199.587;98.413;101.174;97,3;12,1%
1;Tarapacá;11;Iquique;1107;Alto Hospicio;142.086;70.649;71.437;98,9;5,4%
1;Tarapacá;14;Del Tamarugal;1401;Pozo Almonte;16.878;8.667;8.211;105,6;10,1%
1;Tarapacá;14;Del Tamarugal;1402;Camiña;1.335;648;687;94,3;17,7%
1;Tarapacá;14;Del Tamarugal;1403;Colchane;790;389;401;97,0;16,8%
1;Tarapacá;14;Del Tamarugal;1404;Huara;2.858;1.484;1.374;108,0;15,4%
1;Tarapacá;14;Del Tamarugal;1405;Pica;6.272;3.093;3.179;97,3;14,0%
2;Antofagasta;21;Antofagasta;2101;Antofagasta;401.096;197.979;203.117;97,5;9,7%
2;Antofagasta;21;Antofagasta;2102;Mejillones;14.084;7.021;7.063;99,4;7,9%
2;Antofagasta;21;Antofagasta;2103;Sierra Gorda;1.472;707;765;92,4;6,9%
2;Antofagasta;21;Antofagasta;2104;Taltal;12.097;6.063;6.034;100,5;13,0%
2;Antofagasta;22;El Loa;2201;Calama;166.334;82.269;84.065;97,9;9,0%
2;Antofagasta;22;El Loa;2202;Ollagüe;256;122;134;91,0;13,7%
2;Antofagasta;22;El Loa;2203;San Pedro de Atacama;9.843;4.768;5.075;94,0;8,5%
2;Antofagasta;23;Tocopilla;2301;Tocopilla;25.400;12.589;12.811;98,3;13,2%
2;Antofagasta;23;Tocopilla;2302;María Elena;4.834;2.477;2.357;105,1;9,3%
3;Atacama;31;Copiapó;3101;Copiapó;168.831;83.536;85.295;97,9;11,1%
3;Atacama;31;Copiapó;3102;Caldera;18.805;9.396;9.409;99,9;14,4%
3;Atacama;31;Copiapó;3103;Tierra Amarilla;11.846;6.070;5.776;105,1;11,4%
3;Atacama;32;Chañaral;3201;Chañaral;12.345;6.219;6.126;101,5;14,9%
3;Atacama;32;Chañaral;3202;Diego de Almagro;11.397;5.672;5.725;99,1;10,3%
3;Atacama;33;Huasco;3301;Vallenar;54.222;26.541;27.681;95,9;14,8%
3;Atacama;33;Huasco;3302;Alto del Carmen;4.788;2.454;2.334;105,1;21,4%
3;Atacama;33;Huasco;3303;Freirina;7.577;3.743;3.834;97,6;15,6%
3;Atacama;33;Huasco;3304;Huasco;9.369;4.632;4.737;97,8;17,4%
4;Coquimbo;41;Elqui;4101;La Serena;250.141;120.407;129.734;92,8;13,2%
4;Coquimbo;41;Elqui;4102;Coquimbo;263.719;127.926;135.793;94,2;13,1%
4;Coquimbo;41;Elqui;4103;Andacollo;11.566;5.800;5.766;100,6;16,9%
4;Coquimbo;41;Elqui;4104;La Higuera;4.335;2.299;2.036;112,9;18,1%
4;Coquimbo;41;Elqui;4105;Paiguano;4.649;2.310;2.339;98,8;17,4%
4;Coquimbo;41;Elqui;4106;Vicuña;28.047;13.738;14.309;96,0;15,6%
4;Coquimbo;42;Choapa;4201;Illapel;32.009;15.548;16.461;94,5;17,0%
4;Coquimbo;42;Choapa;4202;Canela;9.639;4.869;4.770;102,1;23,4%
4;Coquimbo;42;Choapa;4203;Los Vilos;22.879;11.281;11.598;97,3;16,1%
4;Coquimbo;42;Choapa;4204;Salamanca;27.823;13.772;14.051;98,0;16,0%
4;Coquimbo;43;Limarí;4301;Ovalle;118.696;57.311;61.385;93,4;14,6%
4;Coquimbo;43;Limarí;4302;Combarbalá;12.954;6.305;6.649;94,8;22,5%
4;Coquimbo;43;Limarí;4303;Monte Patria;29.997;14.703;15.294;96,1;16,8%
4;Coquimbo;43;Limarí;4304;Punitaqui;12.076;5.975;6.101;97,9;17,6%
4;Coquimbo;43;Limarí;4305;Río Hurtado;4.334;2.153;2.181;98,7;24,1%
5;Valparaíso;51;Valparaíso;5101;Valparaíso;284.938;138.494;146.444;94,6;16,3%
5;Valparaíso;51;Valparaíso;5102;Casablanca;29.876;14.582;15.294;95,3;14,8%
5;Valparaíso;51;Valparaíso;5103;Concón;48.294;23.153;25.141;92,1;15,3%
5;Valparaíso;51;Valparaíso;5104;Juan Fernández;904;458;446;102,7;13,9%
5;Valparaíso;51;Valparaíso;5105;Puchuncaví;22.539;11.156;11.383;98,0;18,1%
5;Valparaíso;51;Valparaíso;5107;Quintero;35.754;17.507;18.247;95,9;16,3%
5;Valparaíso;51;Valparaíso;5109;Viña del Mar;334.871;158.878;175.993;90,3;17,7%
5;Valparaíso;52;Isla de Pascua;5201;Isla de Pascua;4.800;2.351;2.449;96,0;8,4%
5;Valparaíso;53;Los Andes;5301;Los Andes;63.440;30.469;32.971;92,4;15,4%
5;Valparaíso;53;Los Andes;5302;Calle Larga;16.597;8.139;8.458;96,2;13,2%
5;Valparaíso;53;Los Andes;5303;Rinconada;11.855;5.851;6.004;97,5;13,3%
5;Valparaíso;53;Los Andes;5304;San Esteban;20.112;9.835;10.277;95,7;14,3%
5;Valparaíso;54;Petorca;5401;La Ligua;39.270;19.171;20.099;95,4;16,7%
5;Valparaíso;54;Petorca;5402;Cabildo;20.015;9.860;10.155;97,1;16,0%
5;Valparaíso;54;Petorca;5403;Papudo;7.561;3.766;3.795;99,2;17,5%
5;Valparaíso;54;Petorca;5404;Petorca;10.206;5.030;5.176;97,2;18,1%
5;Valparaíso;54;Petorca;5405;Zapallar;7.980;3.902;4.078;95,7;18,5%
5;Valparaíso;55;Quillota;5501;Quillota;96.753;46.621;50.132;93,0;15,9%
5;Valparaíso;55;Quillota;5502;Calera;50.631;24.513;26.118;93,9;16,0%
5;Valparaíso;55;Quillota;5503;Hijuelas;19.286;9.518;9.768;97,4;14,3%
