comuna,Población censada,latitud,longitud,region,cantidad_toneladas,residuos_per_capita
Arica,241653.0,-18.4754587,-70.31406901,Arica y Parinacota,273354.37215,1.1311855104219688
Putre,1547.0,-18.83694069,-69.0427804,Arica y Parinacota,31.6791,0.02047776341305753
Iquique,199587.0,-20.29499481,-70.1277879,Tarapacá,28440.963939,0.14249908029581085
Alto Hospicio,142086.0,-20.24893721,-70.09737505,Tarapacá,4506.210747,0.03171467102318314
Pozo Almonte,16878.0,-20.05762649,-69.2573269,Tarapacá,12412.635,0.7354328119445432
Huara,2858.0,-19.87941853,-69.86443756,Tarapacá,37.141,0.012995451364590621
Pica,6272.0,-20.98876896,-68.65651325,Tarapacá,43809.853,6.984989317602041
Antofagasta,401096.0,-23.51288949,-70.40188905,Antofagasta,734862.83452536,1.8321370308488742
Mejillones,14084.0,-23.09922444,-70.44974202,Antofagasta,508965.8007,36.13787281312128
Sierra Gorda,1472.0,-22.9815965,-69.71890676,Antofagasta,39481.39627,26.821600726902172
Taltal,12097.0,-25.40366862,-70.47501719,Antofagasta,9643.099,0.797147970571216
Calama,166334.0,-22.50702722,-68.93408842,Antofagasta,311168.04065,1.8707422454218618
Tocopilla,25400.0,-22.0928061,-70.2008246,Antofagasta,95787.5085,3.7711617519685037
María Elena,4834.0,-22.35344346,-69.592528,Antofagasta,5958.96481,1.2327192407943732
Copiapó,168831.0,-27.3632829,-70.34508046,Atacama,21501.3401,0.1273542187157572
Caldera,18805.0,-26.9124952,-70.81237559,Atacama,2945.1255,0.15661395905344325
Tierra Amarilla,11846.0,-27.8146489,-69.26254324,Atacama,18160.403,1.533040942090157
Chañaral,12345.0,-26.5392346,-70.3444497,Atacama,2065.781,0.16733746456055082
Diego de Almagro,11397.0,-26.237688,-69.5612646,Atacama,12935.339,1.134977537948583
Vallenar,54222.0,-28.98254497,-70.89343134,Atacama,2101.493,0.03875720187377817
Alto del Carmen,4788.0,-28.75892526,-70.48486677,Atacama,1151.36,0.2404678362573099
Freirina,7577.0,-28.50915726,-70.91935617,Atacama,148.628919,0.019615800316748054
Huasco,9369.0,-28.46860974,-71.25437653,Atacama,273047.07450000005,29.143673230867762
La Serena,250141.0,-29.9054771,-71.2629223,Coquimbo,18220.41646,0.07284058375076458
Coquimbo,263719.0,-29.95801517,-71.33766678,Coquimbo,25499.47747,0.09669184802763549
Andacollo,11566.0,-30.2528887,-71.08701007,Coquimbo,3163.491,0.27351642745979593
La Higuera,4335.0,-29.46891932,-70.99683843,Coquimbo,115.969,0.0267517877739331
Paiguano,4649.0,-30.1227768,-70.49244004,Coquimbo,94.61,0.020350613035061305
Vicuña,28047.0,-35.67514497,-71.54296465,Coquimbo,2299.426,0.08198473990088066
Illapel,32009.0,-31.781342,-70.9680122,Coquimbo,645.3480000000001,0.020161454590896313
Los Vilos,22879.0,-31.90965763,-71.51678907,Coquimbo,1466.8165,0.06411191485641854
Salamanca,27823.0,-31.77442905,-70.98830153,Coquimbo,16645.575,0.5982667217769472
Ovalle,118696.0,-30.59789679,-71.18391428,Coquimbo,28528.23425,0.24034705676686663
Combarbalá,12954.0,-31.1413769,-71.08665641,Coquimbo,596.21,0.046025165971900574
Monte Patria,29997.0,-30.69882214,-70.95329143,Coquimbo,1508.97,0.0503040304030403
Punitaqui,12076.0,-30.9872229,-71.28055661,Coquimbo,147.79,0.01223832394832726
Río Hurtado,4334.0,-30.33990951,-70.75809048,Coquimbo,108.232,0.024972773419473928
Valparaíso,284938.0,-33.04860942,-71.60382299,Valparaíso,25270.13853,0.08868644592858797
Casablanca,29876.0,-33.46917586,-71.39702855,Valparaíso,44105.3888,1.476281590574374
Concón,48294.0,-32.9792269,-71.48848096,Valparaíso,44901.884280000006,0.9297611355447883
Puchuncaví,22539.0,-32.75556034,-71.47886576,Valparaíso,106928.0618,4.744135134655486
Quintero,35754.0,-32.91396244,-71.49705375,Valparaíso,5080.043816,0.14208323029591097
Viña del Mar,334871.0,-33.02592447,-71.54747555,Valparaíso,44115.043985,0.1317374272033111
Los Andes,63440.0,-32.83616157,-70.60424077,Valparaíso,20888.567345,0.3292649329287516
Calle Larga,16597.0,-32.85825172,-70.6395388,Valparaíso,484.98,0.02922094354401398
Rinconada,11855.0,-32.92614836,-70.68082881,Valparaíso,397.987,0.03357123576549979
San Esteban,20112.0,-32.7967678,-70.5562522,Valparaíso,1344.8517,0.06686812350835322
La Ligua,39270.0,-32.45014325,-71.23561077,Valparaíso,11981.7859,0.30511295900178254
Cabildo,20015.0,-32.41656523,-71.07067454,Valparaíso,505.162,0.025239170622033475
Zapallar,7980.0,-32.63431367,-71.42348765,Valparaíso,197.724,0.024777443609022554
Quillota,96753.0,-32.89211263,-71.26273607,Valparaíso,12027.498545,0.1243113758229719
Calera,50631.0,-32.79074483,-71.19177185,Valparaíso,29244.84027,0.5776074000118505
Hijuelas,19286.0,-32.79799772,-71.14372019,Valparaíso,1884.464,0.09771150057036192
La Cruz,24939.0,-32.84544368,-71.18045515,Valparaíso,243.279,0.009754962107542403
Nogales,22136.0,-32.72256606,-71.21348643,Valparaíso,4856.113,0.21937626490784243
San Antonio,96770.0,-33.5816834,-71.6136029,Valparaíso,8761.771378,0.09054222773586855
Algarrobo,16076.0,-33.36162317,-71.66902625,Valparaíso,653.3301,0.0406400908186116
Cartagena,24599.0,-33.57188433,-71.5150485,Valparaíso,453.2773,0.018426655555103866
El Quisco,18971.0,-33.39663603,-71.69468943,Valparaíso,172.107,0.009072110062727321
El Tabo,16260.0,-33.51762303,-71.60520303,Valparaíso,269.017,0.01654471094710947
Santo Domingo,13171.0,-33.89107243,-71.63321155,Valparaíso,7851.525,0.596122162326323
San Felipe,80413.0,-32.79962448,-70.69996117,Valparaíso,10887.66979,0.13539688595127652
Catemu,13760.0,-32.79958061,-70.95446046,Valparaíso,2966.894,0.2156172965116279
Llaillay,25484.0,-32.85028848,-70.95175746,Valparaíso,1220.22243,0.047881903547323815
Panquehue,7269.0,-32.74007148,-70.76392596,Valparaíso,1902.41,0.2617155041959004
Santa María,15134.0,-32.73877273,-70.65862147,Valparaíso,3474.6920000000005,0.22959508391700809
Quilpué,162559.0,-33.04454216,-71.41806106,Valparaíso,34222.942868,0.21052628810462662
Limache,56145.0,-32.989622,-71.26558589,Valparaíso,3540.82731,0.06306576382580818
Olmué,19778.0,-32.99813496,-71.18927866,Valparaíso,227.37213,0.01149621448073617
Villa Alemana,139571.0,-33.05880996,-71.39596432,Valparaíso,5854.60897,0.041947173624893426
Santiago,438856.0,-33.44001254,-70.64817256,Metropolitana de Santiago,147098.192938491,0.3351855573092108
Cerrillos,85041.0,-33.48234897,-70.6932919,Metropolitana de Santiago,45552.1870492,0.5356497107183594
