comuna,latitud,longitud,region,cantidad_toneladas
Tocopilla,-22.0928061,-70.2008246,Antofagasta,95787.50850000001
Calama,-22.50702722,-68.93408842,Antofagasta,311168.04065
Mejillones,-23.09922444,-70.44974202,Antofagasta,508965.8007
Sierra Gorda,-22.9815965,-69.71890676,Antofagasta,39481.39627
Taltal,-25.40366862,-70.47501719,Antofagasta,9643.099
Antofagasta,-23.51288949,-70.40188905,Antofagasta,734862.83452536
María Elena,-22.35344346,-69.592528,Antofagasta,5958.9648099999995
San Pedro Atacama,-22.917842,-68.20535957,Antofagasta,3080.671
Traiguén,-38.26128898,-72.68582876,Araucanía,229.649
Temuco,-38.71703063,-72.56569217,Araucanía,52046.488470000004
Nueva Imperial,-38.76856137,-72.85791618,Araucanía,1415.847
Vilcún,-38.65488057,-72.47777071,Araucanía,33493.902
Curacautín,-38.4315179,-71.902553,Araucanía,3088.344
Curarrehue,-39.39013925,-71.68036409,Araucanía,2054.002098
Melipeuco,-38.84751136,-71.79249661,Araucanía,1990.703583
Carahue,-38.72015115,-73.17041601,Araucanía,155.825
Victoria,-38.2281414,-72.3328874,Araucanía,3196.9139999999998
Renaico,-37.66914691,-72.58556347,Araucanía,1126.8651
Cholchol,-38.6021996,-72.8451645,Araucanía,68.4
Collipulli,-37.95850462,-72.43904554,Araucanía,301957.546
Cunco,-39.06478315,-72.08664272,Araucanía,1012.902
Pucón,-39.27225549,-71.97762564,Araucanía,2542.62125
Gorbea,-39.11192154,-72.62119708,Araucanía,155.95
Lautaro,-38.5242333,-72.4369176,Araucanía,6132.14494
Pitrufquén,-38.9879896,-72.6352832,Araucanía,2505.46
Loncoche,-39.35535658,-72.63801305,Araucanía,1323.575
Lonquimay,-38.46376257,-71.35551509,Araucanía,39.2
Angol,-37.80272258,-72.69950321,Araucanía,185554.491
Padre Las Casas,-38.76217111,-72.60450463,Araucanía,1911.5533
Perquenco,-38.41611198,-72.37561951,Araucanía,240.25
Galvarino,-38.4161469,-72.7823935,Araucanía,71.2
Los Sauces,-37.96635124,-72.82654433,Araucanía,11.5
Villarrica,-39.2812093,-72.2282496,Araucanía,10766.2201
Freire,-38.95444835,-72.61668839,Araucanía,2239.827
Arica,-18.4754587,-70.31406901,Arica y Parinacota,273354.37215
Putre,-18.83694069,-69.0427804,Arica y Parinacota,31.679100000000002
Freirina,-28.50915726,-70.91935617,Atacama,148.628919
Tierra Amarilla,-27.8146489,-69.26254324,Atacama,18160.403
Copiapó,-27.3632829,-70.34508046,Atacama,21501.3401
Diego de Almagro,-26.237688,-69.5612646,Atacama,12935.339
Huasco,-28.46860974,-71.25437653,Atacama,273047.07450000005
Chañaral,-26.5392346,-70.3444497,Atacama,2065.781
Vallenar,-28.98254497,-70.89343134,Atacama,2101.493
Alto del Carmen,-28.75892526,-70.48486677,Atacama,1151.36
Caldera,-26.9124952,-70.81237559,Atacama,2945.1255
Chile Chico,-46.5412551,-71.7247134,Aysén del Gral. Carlos Ibañez del Campo,1162.64
Aysén,-45.41421187,-73.39421965,Aysén del Gral. Carlos Ibañez del Campo,42318.14843
Cisnes,-44.17623582,-74.29192523,Aysén del Gral. Carlos Ibañez del Campo,25769.739555
Guaitecas,-43.88332964,-73.75000172,Aysén del Gral. Carlos Ibañez del Campo,1660.94446
Coihaique,-45.56782804,-72.06814334,Aysén del Gral. Carlos Ibañez del Campo,1688.1897
Tucapel,-37.28853472,-71.79264697,Biobío,355.301
Penco,-36.73199145,-72.99120038,Biobío,2636.906
Curanilahue,-37.43221167,-73.35296887,Biobío,877.335
Antuco,-37.34932502,-71.55555736,Biobío,16.599
Cabrero,-37.17274039,-72.40745471,Biobío,21939.25048
Mulchén,-37.70345538,-72.2594054,Biobío,4831.067
Los Alamos,-37.6273531,-73.4132314,Biobío,408.409
Tomé,-36.72946496,-72.86376234,Biobío,23374.1453
Los Angeles,-37.4203394,-72.3385869,Biobío,25333.7714
Santa Juana,-37.18358468,-72.9449809,Biobío,7.442
Lota,-37.08127102,-73.16337819,Biobío,1235.98209
Santa Bárbara,-37.71212522,-71.81618146,Biobío,656.1893500000001
Arauco,-37.21707124,-73.2177903,Biobío,157639.84
Coronel,-37.0128236,-73.1585467,Biobío,88908.759
Quilleco,-37.35987961,-71.86401646,Biobío,104.98949999999999
Hualpén,-36.80107943,-73.07187611,Biobío,31421.46929
Chiguayante,-36.90280831,-73.02831022,Biobío,4030.953
