latitud,longitud,comuna,region,cantidad_toneladas
"-18,4754587","-70,31406901",Arica,Arica y Parinacota,"8,44"
"-20,29499481","-70,1277879",Iquique,Tarapacá,"0,129"
"-20,29499481","-70,1277879",Iquique,Tarapacá,"0,5868"
"-20,29499481","-70,1277879",Iquique,Tarapacá,"26,7"
"-23,51288949","-70,40188905",Antofagasta,Antofagasta,"28,37"
"-23,51288949","-70,40188905",Antofagasta,Antofagasta,"57,83"
"-22,50702722","-68,93408842",Calama,Antofagasta,"3,66"
"-22,50702722","-68,93408842",Calama,Antofagasta,"5,36"
"-22,50702722","-68,93408842",Calama,Antofagasta,7
"-22,50702722","-68,93408842",Calama,Antofagasta,"13,22"
"-22,50702722","-68,93408842",Calama,Antofagasta,"35,8"
"-27,3632829","-70,34508046",Copiapó,Atacama,"9,82"
"-27,3632829","-70,34508046",Copiapó,Atacama,"37,48"
"-29,9054771","-71,2629223",La Serena,Coquimbo,"0,047"
"-29,9054771","-71,2629223",La Serena,Coquimbo,"0,91"
"-29,9054771","-71,2629223",La Serena,Coquimbo,"1,563"
"-29,9054771","-71,2629223",La Serena,Coquimbo,"2,07"
"-29,9054771","-71,2629223",La Serena,Coquimbo,"3,34"
"-32,83616157","-70,60424077",Los Andes,Valparaíso,"6,2283"
"-32,83616157","-70,60424077",Los Andes,Valparaíso,"14,61"
"-32,9792269","-71,48848096",Concón,Valparaíso,"0,52"
"-32,9792269","-71,48848096",Concón,Valparaíso,"0,57"
"-32,9792269","-71,48848096",Concón,Valparaíso,"3,63"
"-33,37387582","-70,71969142",Quilicura,Metropolitana de Santiago,"4,43"
"-33,37387582","-70,71969142",Quilicura,Metropolitana de Santiago,"55,84"
"-33,37387582","-70,71969142",Quilicura,Metropolitana de Santiago,"109,837"
"-33,41191626","-70,7821744",Renca,Metropolitana de Santiago,"1,67"
"-33,41191626","-70,7821744",Renca,Metropolitana de Santiago,"2,95"
"-33,41191626","-70,7821744",Renca,Metropolitana de Santiago,"4,12"
"-33,41191626","-70,7821744",Renca,Metropolitana de Santiago,"4,38"
"-33,41191626","-70,7821744",Renca,Metropolitana de Santiago,"19,03094"
"-34,15888565","-70,72735328",Rancagua,Libertador Gral. Bernardo O'Higgins,16
"-35,4349312","-71,63777813",Talca,Maule,"7,35"
"-41,73768015","-72,69516345",Hualaihué,Los Lagos,"0,009"
"-41,73768015","-72,69516345",Hualaihué,Los Lagos,"0,121"
"-41,73768015","-72,69516345",Hualaihué,Los Lagos,"0,32"
"-41,73768015","-72,69516345",Hualaihué,Los Lagos,"0,786"
"-41,73768015","-72,69516345",Hualaihué,Los Lagos,"1,69"
"-41,73768015","-72,69516345",Hualaihué,Los Lagos,"1,956"
"-41,73768015","-72,69516345",Hualaihué,Los Lagos,"2,02"
"-41,73768015","-72,69516345",Hualaihué,Los Lagos,"2,98"
"-41,73768015","-72,69516345",Hualaihué,Los Lagos,"2,986"
"-41,73768015","-72,69516345",Hualaihué,Los Lagos,"3,79"
"-41,73768015","-72,69516345",Hualaihué,Los Lagos,"4,635"
"-41,73768015","-72,69516345",Hualaihué,Los Lagos,"6,092"
"-41,73768015","-72,69516345",Hualaihué,Los Lagos,"6,577"
"-41,73768015","-72,69516345",Hualaihué,Los Lagos,"6,59"
"-41,73768015","-72,69516345",Hualaihué,Los Lagos,"8,499"
"-41,73768015","-72,69516345",Hualaihué,Los Lagos,"12,49"
"-41,73768015","-72,69516345",Hualaihué,Los Lagos,"14,315"
"-41,73768015","-72,69516345",Hualaihué,Los Lagos,"17,705"
"-41,73768015","-72,69516345",Hualaihué,Los Lagos,"18,5"
"-41,73768015","-72,69516345",Hualaihué,Los Lagos,"21,373"
"-45,41421187","-73,39421965",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"0,061"
"-45,41421187","-73,39421965",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"0,462"
"-45,41421187","-73,39421965",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"0,538"
"-45,41421187","-73,39421965",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"0,962"
"-45,41421187","-73,39421965",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"2,136"
"-45,41421187","-73,39421965",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"4,328"
"-45,41421187","-73,39421965",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"4,767"
"-45,41421187","-73,39421965",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"7,2"
"-45,41421187","-73,39421965",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"8,53"
"-45,41421187","-73,39421965",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"14,369"
"-45,41421187","-73,39421965",Aysén,Aysén del Gral. Carlos Ibañez del Campo,46
"-45,41421187","-73,39421965",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"53,941"
"-45,44439067","-73,37949638",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"0,09"
"-45,44439067","-73,37949638",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"0,136"
"-45,44439067","-73,37949638",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"0,2"
"-45,44439067","-73,37949638",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"0,45"
"-45,44439067","-73,37949638",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"2,333"
"-45,44439067","-73,37949638",Aysén,Aysén del Gral. Carlos Ibañez del Campo,16
"-45,44439067","-73,37949638",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"19,2"
"-45,02701255","-74,08652459",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"0,09"
"-45,02701255","-74,08652459",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"0,122"
"-45,02701255","-74,08652459",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"0,16"
"-45,02701255","-74,08652459",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"0,337"
"-45,02701255","-74,08652459",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"0,35"
"-45,02701255","-74,08652459",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"0,475"
"-45,02701255","-74,08652459",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"0,721"
"-45,02701255","-74,08652459",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"1,21"
"-45,02701255","-74,08652459",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"1,24"
"-45,02701255","-74,08652459",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"1,873"
"-45,02701255","-74,08652459",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"3,601"
"-45,02701255","-74,08652459",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"11,096"
"-45,02701255","-74,08652459",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"18,5"
"-45,21642326","-74,01147506",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"0,061"
"-45,21642326","-74,01147506",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"0,16"
"-45,21642326","-74,01147506",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"0,168"
"-45,21642326","-74,01147506",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"0,217"
"-45,21642326","-74,01147506",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"0,46"
"-45,21642326","-74,01147506",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"0,472"
"-45,21642326","-74,01147506",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"0,826"
"-45,21642326","-74,01147506",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"1,073"
"-45,21642326","-74,01147506",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"1,577"
"-45,21642326","-74,01147506",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"2,011"
"-45,21642326","-74,01147506",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"2,623"
"-45,21642326","-74,01147506",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"14,3"
"-45,21642326","-74,01147506",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"18,32"
"-45,21642326","-74,01147506",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"20,237"
"-45,21642326","-74,01147506",Aysén,Aysén del Gral. Carlos Ibañez del Campo,26
"-45,21642326","-74,01147506",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"40,389"
"-45,03502057","-74,03784911",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"0,16"
"-45,03502057","-74,03784911",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"1,39"
"-45,03502057","-74,03784911",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"1,41"
"-45,03502057","-74,03784911",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"1,965"
"-45,03502057","-74,03784911",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"6,99"
"-45,32328115","-73,36130027",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"0,594"
"-45,32328115","-73,36130027",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"0,646"
"-45,32328115","-73,36130027",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"1,345"
"-45,32328115","-73,36130027",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"1,79"
"-45,32328115","-73,36130027",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"2,98"
"-45,32328115","-73,36130027",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"3,66"
"-45,32328115","-73,36130027",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"5,66"
"-45,32328115","-73,36130027",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"19,9"
"-45,32328115","-73,36130027",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"42,12"
"-45,3362545","-73,38640575",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"0,32"
"-45,3362545","-73,38640575",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"0,474"
"-45,3362545","-73,38640575",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"0,705"
"-45,3362545","-73,38640575",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"3,12"
"-45,3362545","-73,38640575",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"4,629"
"-45,3362545","-73,38640575",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"8,939"
"-45,3362545","-73,38640575",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"15,724"
"-45,3362545","-73,38640575",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"17,16"
"-45,3362545","-73,38640575",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"20,4"
"-45,3362545","-73,38640575",Aysén,Aysén del Gral. Carlos Ibañez del Campo,50
"-45,15945441","-73,34704769",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"0,31"
"-45,15945441","-73,34704769",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"0,769"
"-45,15945441","-73,34704769",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"1,123"
"-45,15945441","-73,34704769",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"1,13"
"-45,15945441","-73,34704769",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"1,2"
"-45,15945441","-73,34704769",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"1,675"
"-45,15945441","-73,34704769",Aysén,Aysén del Gral. Carlos Ibañez del Campo,"2,262"
"-45,15945441","-73,34704769",Aysén,Aysén del Gral. Carlos Ibañez del Campo,9
"-44,17623582","-74,29192523",Cisnes,Aysén del Gral. Carlos Ibañez del Campo,"0,16"
"-44,17623582","-74,29192523",Cisnes,Aysén del Gral. Carlos Ibañez del Campo,"0,475"
"-44,17623582","-74,29192523",Cisnes,Aysén del Gral. Carlos Ibañez del Campo,"0,565"
"-44,17623582","-74,29192523",Cisnes,Aysén del Gral. Carlos Ibañez del Campo,"0,82"
"-44,17623582","-74,29192523",Cisnes,Aysén del Gral. Carlos Ibañez del Campo,"0,87"
"-44,17623582","-74,29192523",Cisnes,Aysén del Gral. Carlos Ibañez del Campo,"0,924"
"-44,17623582","-74,29192523",Cisnes,Aysén del Gral. Carlos Ibañez del Campo,"1,504"
"-44,17623582","-74,29192523",Cisnes,Aysén del Gral. Carlos Ibañez del Campo,"4,555"
"-44,17623582","-74,29192523",Cisnes,Aysén del Gral. Carlos Ibañez del Campo,"6,465"
"-44,17623582","-74,29192523",Cisnes,Aysén del Gral. Carlos Ibañez del Campo,"7,12"
"-44,17623582","-74,29192523",Cisnes,Aysén del Gral. Carlos Ibañez del Campo,"31,093"
"-44,17623582","-74,29192523",Cisnes,Aysén del Gral. Carlos Ibañez del Campo,33
"-44,17623582","-74,29192523",Cisnes,Aysén del Gral. Carlos Ibañez del Campo,"53,061"
"-44,27368387","-74,1874917",Cisnes,Aysén del Gral. Carlos Ibañez del Campo,"0,32"
"-44,27368387","-74,1874917",Cisnes,Aysén del Gral. Carlos Ibañez del Campo,"0,457"
"-44,27368387","-74,1874917",Cisnes,Aysén del Gral. Carlos Ibañez del Campo,"1,682"
